,uuid,KEY,Site,HH_Number,DrinkingWaterGroup,DrinkingWater_Private,DrinkingWater_Public,DrinkingWaterDist,DrinkingWater_PublicVendor,DrinkingWaterContainer,DrinkingWaterContainer2,DrinkingWaterContainer2/Metal_Closed,DrinkingWaterContainer2/Metal_Open,DrinkingWaterContainer2/Only_one,DrinkingWaterContainer2/Other_Closed,DrinkingWaterContainer2/Other_Open,DrinkingWaterContainer2/Plastic_Closed,DrinkingWaterContainer2/Plastic_Open,DrinkingWaterContainer2/NA,DrinkingWaterTreatment,DrinkingWaterTreatment2,DrinkingWaterTreatment2/BleachChlorine,DrinkingWaterTreatment2/Boil,DrinkingWaterTreatment2/Filter,DrinkingWaterTreatment2/Other,DrinkingWaterTreatment2/Settle,DrinkingWaterTreatment2/SolarDesinf,DrinkingWaterTreatment2/Strain,DrinkingWaterTreatment2/NA,DrinkingWaterTreatment2Spec,DrinkingWaterAvailability,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,HHITEMS/Computer,HHITEMS/Electricity,HHITEMS/Internet,HHITEMS/Microwave,HHITEMS/Oven,HHITEMS/Radio,HHITEMS/Refrigerator,HHITEMS/Smartphone,HHITEMS/Television,HHITEMS/Noitems,HHITEMS/NA,HHROOMS,StreetFood
0,6a019cb807c243f5843a7c30c25ccacf,uuid:2b72ea56-8a29-4874-94ae-d3f2b699f725,Mathare,448,Public,,Public_Tap,5.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,FreshFit,,,Y,0,1,0,0,0,1,0,1,0,0,0,1,5_Or_More
1,6a019cb807c243f5843a7c30c25ccacf,uuid:335fd59e-5c49-4d12-a143-04ed378cf332,Mathare,711,Public,,Public_Tap,5.0,,Plastic_Open,Plastic_Closed,0,0,0,0,0,1,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_OK,Public,Flush,,Flush_piped,Y,0,1,1,0,0,1,0,1,0,0,0,1,2_4
2,6a019cb807c243f5843a7c30c25ccacf,uuid:dc3aa5be-59ac-4fb3-9e18-992a23611b5f,Mathare,1036,Public,,Public_Tap,5.0,,Plastic_Closed,Plastic_Open,0,0,0,0,0,0,1,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_river,Y,0,1,0,0,0,0,0,0,0,0,0,1,0_1
3,6a019cb807c243f5843a7c30c25ccacf,uuid:06f8aa3b-141b-41e2-a7d7-f5fad9fb5aa9,Mathare,356,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Public,FreshFit,,,Y,0,1,0,0,0,1,0,0,1,0,0,1,5_Or_More
4,6a019cb807c243f5843a7c30c25ccacf,uuid:b730901f-4456-4046-a2d6-7b33d42f38a5,Mathare,1038,Public,,Public_Tap,1.0,,Plastic_Closed,Plastic_Closed,0,0,0,0,0,1,0,0,Y,Boil,0,1,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_piped,Y,0,0,0,0,0,1,0,1,0,0,0,1,2_4
5,6a019cb807c243f5843a7c30c25ccacf,uuid:9866b23c-6395-4e19-8ed8-ec41bede4d71,Mathare,93A,Private,Piped_dwel,,,,,,0,0,0,0,0,0,0,0,Y,Boil,0,1,0,0,0,0,0,0,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_piped,N,0,1,0,0,0,1,1,1,1,0,0,2,5_Or_More
6,6a019cb807c243f5843a7c30c25ccacf,uuid:90692aea-e337-41c7-8d8f-0b8083b037cc,Mathare,298c,Public,,Public_Dispenser,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,0,0,0,1,
7,6a019cb807c243f5843a7c30c25ccacf,uuid:4e7eebf3-a81b-45a4-ac85-ac7085043d18,Mathare,376,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,,,,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,0,0,1,0,0,0,1,5_Or_More
8,6a019cb807c243f5843a7c30c25ccacf,uuid:7434981b-987c-4870-a424-5e4803aa4a0e,Mathare,5A,Public,,Public_Tap,2.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Neighb_Dwelling,FreshFit,,,Y,0,1,0,0,0,1,0,1,1,0,0,1,5_Or_More
9,6a019cb807c243f5843a7c30c25ccacf,uuid:d3fa6913-6ff9-4780-a5d1-954d21abcb5d,Mathare,133,Public,,Public_Tap,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,N,,,,Own_YardPlot,Flush,,Flush_piped,Y,0,0,0,0,0,1,0,0,0,0,0,1,5_Or_More
